i j S OS WN ST sp hpcd hpcdp ppcd ppcdp
Adzharia Poland 0.653333333333333 0.352941176470588 0.915057915057915 0.562116738587327 2633.00420250577 0.724866228314968 0.934538277827562 0.391998453484679 0.560554247394984
Adzharia Scotland 0.804878048780488 1 1 0 5322.75637688277 0.728298462289662 0.910874660825088 0.763017257405732 0.863689453040216
Adzharia Slovakia 0.727272727272727 0.384615384615385 0.947019867549669 0.562404482934284 2488.17745606154 0.759948717715603 0.967538015116821 0.508061496045876 0.618647126976636
Adzharia Southwestern Azerbajan 0.689655172413793 0.6 0.964601769911504 0.364601769911504 567.655048594283 0.845511018470155 1.10804867827848 0.914285136387012 1.21275720717752
Adzharia Sweden 0.644444444444444 0.333333333333333 0.933333333333333 0.6 3237.85200936309 0.710800418988826 0.888990055705033 0.381273678548495 0.607083971955695
Adzharia Tarbagatai 0.82716049382716 0.714285714285714 0.986206896551724 0.27192118226601 4573.15071933907 1.14052732617477 1.25589967718617 1.39339885117378 1.47237430290117
Adzharia Terskey-Alatau 0.878787878787879 1 1 0 4157.41534953672 1.08156917331505 1.11416873031337 1.32445695498022 1.35376676980786
Adzharia Tomsk-Tumen 0.802469135802469 0.5 0.984496124031008 0.484496124031008 3723.64356232052 1.01083521944884 0.996658717498141 0.946332684672659 1.16618192422161
Adzharia Turkmenistan 0.928571428571429 0.333333333333333 0.992395437262357 0.659062103929024 1677.27852117056 1.42453218284615 1.37838204931923 2.40052449546276 2.27149492295008
Adzharia Ural Valley 0.703703703703704 0.428571428571429 0.939393939393939 0.510822510822511 1351.63015144278 0.968044268312616 1.07649367210889 0.461673759118828 0.681925923225274
Adzharia Volga-Kama 0.688888888888889 0.6 0.965156794425087 0.365156794425087 1484.64309421144 0.955534144156978 1.1514961510701 0.835840233472454 1.11891922543595
Akmolinsk Altai 0.621621621621622 0.471698113207547 0.862745098039216 0.391046984831669 1794.93530924358 0.675738758053029 1.00353154402917 0.799401344055961 1.07372401100878
Akmolinsk Armenia 0.747368421052632 0.5 0.945205479452055 0.445205479452055 2692.18736359828 0.944290636021851 0.986098072681614 1.08335061186478 1.31857841346537
Akmolinsk Central Yakutia 0.82089552238806 0.714285714285714 0.985611510791367 0.271325796505653 6718.02237207032 0.810587084813666 0.957296648098123 0.79981562910834 0.845965269589295
Akmolinsk Chimkent 0.756756756756757 0.5 0.954887218045113 0.454887218045113 446.296757046016 0.803956160940554 0.863150528913638 0.671048869646674 0.836452306957002
Akmolinsk Dzhungarsky Alatau 0.538461538461539 0.391304347826087 0.854922279792746 0.463617931966659 1372.88586123964 0.421573263091495 0.651909435304019 0.40044456352561 0.68156966970802
Akmolinsk East Balkhash 0.758241758241758 0.6 0.967391304347826 0.367391304347826 1284.44902784516 0.984750406763465 1.37169590844438 1.70980058451545 1.73677408621201
Akmolinsk East Pamir 0.846153846153846 0.333333333333333 0.985611510791367 0.652278177458034 757.223072763171 0.734782629704156 0.764538289915316 0.968491975481763 1.06675847835991
Akmolinsk Gissar 0.861111111111111 0.2 0.974842767295597 0.774842767295598 501.157866128319 0.850780313182594 0.928458799077266 1.17062197249798 1.18817085632127
Akmolinsk Guriev 0.733333333333333 0.304347826086957 0.919597989949749 0.615250163862792 1571.89845681043 1.04831651436853 1.28430118426967 1.07828111704769 1.295484372189
Akmolinsk Kabarda 0.722222222222222 0.444444444444444 0.939024390243902 0.494579945799458 2824.52561593814 0.767268356283987 1.03893275037497 1.00436092732624 1.17331329026745
Akmolinsk Kostroma 0.615384615384615 0.392857142857143 0.847533632286996 0.454676489429853 2814.21342170261 0.961874231497339 1.30710417999225 1.07324310038582 1.59328609862155
Akmolinsk Krasnojarsk 0.768115942028986 0.5 0.96969696969697 0.46969696969697 3222.59398589515 0.831380789144037 0.879178462971937 0.636720700937194 0.801957487716993
Akmolinsk Kurgan 0.44 0.443298969072165 0.731343283582089 0.288044314509925 441.889998365077 0.600192599831754 0.974968511572427 0.299457800790778 0.739052113886573
Akmolinsk Kursk 0.606060606060606 0.513513513513514 0.882352941176471 0.368839427662957 3575.5738986832 0.860098502960094 1.39463906017166 1.04035599630961 1.47679802402974
Akmolinsk Kustanai 0.210526315789474 0.301587301587302 0.463414634146341 0.16182733255904 422.84236754897 0.266401599050982 1.2982491149344 0.267335556556095 1.01013718101635
Akmolinsk Middle Ural 0.627118644067797 0.352941176470588 0.839416058394161 0.486474881923572 615.31878896773 0.850682831438195 1.21709264604891 0.78722217446684 1.18582540231883
Akmolinsk Mongolia-NorthWestern Khangay 0.78 1 1 0 3114.56195794008 1.03271730017733 0.988976174859898 1.38645583847527 1.64669198207031
Akmolinsk Moscow 0.653333333333333 0.375 0.873949579831933 0.498949579831933 3417.59966223556 0.969168935196433 1.31701705361404 0.767488581326569 1.03570845835464
Akmolinsk Moyyunkum 0.842696629213483 0.2 0.980392156862745 0.780392156862745 395.542147025563 1.11253347764207 1.14867734097954 1.77154727036229 1.80911985297867
Akmolinsk Nakhichevan 0.672131147540984 0.6 0.947826086956522 0.347826086956522 2679.0891889154 0.943095898703938 1.0903193172344 0.518611430617112 0.800190489446339
Akmolinsk North Kyrgyzstan 0.626373626373626 0.454545454545455 0.931428571428571 0.476883116883117 774.397302028608 0.677011660047321 0.840000453519008 0.652911356040426 0.960913154987473
Akmolinsk North Russian Far East 0.915492957746479 1 1 0 10247.2895412061 0.968326301538723 0.898436083631521 0.848958694295338 0.860790871219315
Akmolinsk Novosibirsk 0.489795918367347 0.460869565217391 0.77037037037037 0.309500805152979 1270.55112384162 0.689178056239468 1.0655886367224 0.40098546627549 0.765745318719653
Akmolinsk Pavlodar 0.536231884057971 0.4375 0.859375 0.421875 895.609452935398 0.519122509841261 0.903101556376739 0.554268140603618 0.896227764632237
Akmolinsk Poland 0.707865168539326 0.395348837209302 0.91156462585034 0.516215788641038 5442.34912716329 1.1368264217274 1.3582861142717 1.15791221833724 1.42741931305824
Akmolinsk Pre-Polar Ural 0.728813559322034 0.384615384615385 0.938931297709924 0.554315913094539 1166.26659975108 1.017252021405 1.30220648064154 0.780889127188521 0.980238058844778
Akmolinsk Scotland 0.745454545454545 0.818181818181818 0.981981981981982 0.163800163800164 8074.3501134679 0.79740365909941 0.984123524177784 1.13807208741452 1.452822034814
Akmolinsk Selenga 0.841269841269841 1 1 0 4254.20718631266 0.914661483501139 0.900173044024192 0.495616710891497 0.580317565099362
Akmolinsk Slovakia 0.725 0.310344827586207 0.89247311827957 0.582128290693363 5329.25407530922 1.11913642259599 1.4569282281945 1.17513438318831 1.34579501416841
Akmolinsk Southwestern Azerbajan 0.833333333333333 0.428571428571429 0.972972972972973 0.544401544401544 2471.23814298092 1.20062867433214 1.36570384142664 1.13854030088815 1.17800190310122
Akmolinsk Sweden 0.76271186440678 0.2 0.936 0.736 5739.35434496884 0.781066392273634 0.963960726552584 0.965647420112036 1.15964921436038
Akmolinsk Syugaty 0.882352941176471 1 1 0 1188.98834727935 1.06444524933518 1.14281912945152 1.64455059998471 1.63526173908621
Akmolinsk Taimyr 0.777777777777778 0.636363636363636 0.972602739726027 0.336239103362391 1946.16910095864 1.00456015138976 1.12367795590237 0.933810051765612 1.13704075721554
Akmolinsk Tarbagatai 0.536842105263158 0.5 0.877777777777778 0.377777777777778 1641.82440239816 0.569392411131965 1.0969869350102 0.516612260711907 0.737043374536471
Akmolinsk Terskey-Alatau 0.625 0.8 0.976331360946746 0.176331360946746 1252.40514040231 0.747960030538488 0.866291369490268 0.496006092593702 0.790355881436524
Akmolinsk Tomsk-Tumen 0.621052631578947 0.5 0.877133105802048 0.377133105802048 738.862383952129 0.842468167309334 1.07391282769298 0.650075153373511 0.951540899295666
Akmolinsk Trans-Ili Alatau 0.723076923076923 0.636363636363636 0.973856209150327 0.33749257278669 992.662091790274 0.883090947044945 0.963719479006546 0.485745110211086 0.677309129284952
Akmolinsk Turkmenistan 0.918367346938775 0.5 0.993288590604027 0.493288590604027 1404.57441530916 1.1810994917319 1.14079537684475 1.96541078558044 1.79446310914963
