"","i","j","S","OS","WN","ST","sp","hpcd","hpcdp","ppcd","ppcdp"
"36","Adzharia","Slovakia",0.727272727272727,0.384615384615385,0.947019867549669,0.562404482934284,2488.17745606154,0.759948717715603,0.967538015116821,0.508061496045876,0.618647126976636
"37","Adzharia","Southwestern Azerbajan",0.689655172413793,0.6,0.964601769911504,0.364601769911504,567.655048594283,0.845511018470155,1.10804867827848,0.914285136387012,1.21275720717752
"38","Adzharia","Sweden",0.644444444444444,0.333333333333333,0.933333333333333,0.6,3237.85200936309,0.710800418988826,0.888990055705033,0.381273678548495,0.607083971955695
"39","Adzharia","Syugaty",0.962962962962963,NA,1,NA,4096.21599119323,1.34295402460775,1.39983534176572,2.03631008914848,1.8575121301013
"40","Adzharia","Taimyr",0.918367346938775,NA,1,NA,4907.72313403947,1.01190958046257,0.924298361374898,0.888731286065942,0.971824048584303
"41","Adzharia","Tarbagatai",0.82716049382716,0.714285714285714,0.986206896551724,0.27192118226601,4573.15071933907,1.14052732617477,1.25589967718617,1.39339885117378,1.47237430290117
"42","Adzharia","Terskey-Alatau",0.878787878787879,1,1,0,4157.41534953672,1.08156917331505,1.11416873031337,1.32445695498022,1.35376676980786
"43","Adzharia","Tomsk-Tumen",0.802469135802469,0.5,0.984496124031008,0.484496124031008,3723.64356232052,1.01083521944884,0.996658717498141,0.946332684672659,1.16618192422161
"44","Adzharia","Trans-Ili Alatau",0.96078431372549,NA,1,NA,3886.89558832573,0.851753572180123,0.793782983893679,1.09378940628735,1.0661111987502
"45","Adzharia","Turkmenistan",0.928571428571429,0.333333333333333,0.992395437262357,0.659062103929024,1677.27852117056,1.42453218284615,1.37838204931923,2.40052449546276,2.27149492295008
"46","Adzharia","Tyva",1,NA,1,NA,5770.09949540097,1.37724442435223,1.25800248284987,2.34532587929462,2.10195281687557
"47","Adzharia","Ural Valley",0.703703703703704,0.428571428571429,0.939393939393939,0.510822510822511,1351.63015144278,0.968044268312616,1.07649367210889,0.461673759118828,0.681925923225274
"48","Adzharia","Ussury",0.923076923076923,NA,1,NA,10256.8631515529,1.09596256534454,1.03557895292887,0.994602781280126,1.01459775219721
"49","Adzharia","Volga-Kama",0.688888888888889,0.6,0.965156794425087,0.365156794425087,1484.64309421144,0.955534144156978,1.1514961510701,0.835840233472454,1.11891922543595
"50","Adzharia","Western Sayan",0.850746268656716,NA,1,NA,5799.77198425544,1.30047370993717,1.17897778302963,1.14293345658118,1.32560603486402
"51","Akmolinsk","Altai",0.621621621621622,0.471698113207547,0.862745098039216,0.391046984831669,1794.93530924358,0.675738758053029,1.00353154402917,0.799401344055961,1.07372401100878
"52","Akmolinsk","Amur",0.942028985507246,NA,1,NA,6594.07151128354,1.04293231767944,0.965358839504937,0.923251897937366,0.902600933414793
"53","Akmolinsk","Amur-Bureya",0.967741935483871,NA,1,NA,7483.48902245208,1.10208218682971,1.01027236498473,1.05577903517201,1.02428959774667
"54","Akmolinsk","Armenia",0.747368421052632,0.5,0.945205479452055,0.445205479452055,2692.18736359828,0.944290636021851,0.986098072681614,1.08335061186478,1.31857841346537
"55","Akmolinsk","Central Yakutia",0.82089552238806,0.714285714285714,0.985611510791367,0.271325796505653,6718.02237207032,0.810587084813666,0.957296648098123,0.79981562910834,0.845965269589295
"56","Akmolinsk","Chimkent",0.756756756756757,0.5,0.954887218045113,0.454887218045113,446.296757046016,0.803956160940554,0.863150528913638,0.671048869646674,0.836452306957002
"57","Akmolinsk","Dzhungarsky Alatau",0.538461538461539,0.391304347826087,0.854922279792746,0.463617931966659,1372.88586123964,0.421573263091495,0.651909435304019,0.40044456352561,0.68156966970802
"58","Akmolinsk","East Balkhash",0.758241758241758,0.6,0.967391304347826,0.367391304347826,1284.44902784516,0.984750406763465,1.37169590844438,1.70980058451545,1.73677408621201
"59","Akmolinsk","East Pamir",0.846153846153846,0.333333333333333,0.985611510791367,0.652278177458034,757.223072763171,0.734782629704156,0.764538289915316,0.968491975481763,1.06675847835991
"60","Akmolinsk","Gissar",0.861111111111111,0.2,0.974842767295597,0.774842767295598,501.157866128319,0.850780313182594,0.928458799077266,1.17062197249798,1.18817085632127
"61","Akmolinsk","Guriev",0.733333333333333,0.304347826086957,0.919597989949749,0.615250163862792,1571.89845681043,1.04831651436853,1.28430118426967,1.07828111704769,1.295484372189
"62","Akmolinsk","Kabarda",0.722222222222222,0.444444444444444,0.939024390243902,0.494579945799458,2824.52561593814,0.767268356283987,1.03893275037497,1.00436092732624,1.17331329026745
